,DaysWithoutInjury,BodyInjuryCount,TotalExposures,GamesStarter,GameExposure,concussionHistory,concussionCount,bodyInjury_12mPrior,Age,Height,Weight,BMI,MMOI,physicalProblems,sleepStaminaProblems,muscleControlProblems,balancePerceptionProblems,alteredSensations,emotionalProblems,behaviorControl,memoryProblems,thinkingProblems,languageProblems,activityParticipation,overallPerformance,speedPowerEndurance,weightliftingForceOutput,skillPerformance,dailyActivities,suddenMovementLimits,sportActivities,jointJunctionality,dailyResponsibilities,positionCategory1,positionCategory2,avgReactionTime,Mean_AppAvgRT,Avg_RT_App,SD_AppAvgRT,Mean_ConRT,SD_ConRT,Mean_IncRT,SD_IncRT,CoV_AvgRT,CoV_ConRT,CoV_IncRT,AvgRA,ConRA,IncRA,AppAvgEfficiencyIndex,ConEfficiencyIndex,IncEfficiencyIndex,ConflictEffect
pc1,0.04560016387182007,-0.048648895347072785,-0.024132565052562338,-0.056175932686221564,-0.03738234185279116,-0.04834571373773249,-0.028234393816558217,-0.05038883054590718,-0.030250365128537852,0.06482895442768481,0.150760735252548,0.14835312489673028,0.14062112369236066,0.0708386772294472,0.04411018594105133,0.053070514558429066,0.009151492105852055,0.014388033003706564,-0.005635674470392297,0.011308036722349604,0.03245290564288873,0.030395692716162107,0.021914277949086815,0.09087118912643675,0.010423580847312215,-0.02619480819854039,-0.002189827608514701,0.060430673649219516,0.0787597899127346,-0.02634516799322214,0.0352102672225227,0.07079251236926865,-0.010739040539338843,-0.11642152167861813,-0.11075078334864948,0.20981258054917926,0.2753863810663692,0.2753863810663692,0.047573717996214994,0.2794576388651543,0.25992914343759055,0.2113743255166059,0.2517366530615432,0.036341909867827996,0.2024392760498652,0.22187278821606557,-0.15080347464025753,-0.1535497961291849,-0.1164458943065491,0.30648324151856393,0.2931109176149985,0.2598621735699271,-0.013466916202052169
pc2,-0.12463624555902908,0.175394359791055,0.038654299293903904,0.13960764405118675,0.1459536621267727,0.027508537416662204,0.005128195349519721,0.07306238334605092,0.04809599418861159,-0.1395319206350861,-0.08514046260206272,-0.03885448453203576,-0.10607864422849739,-0.224439025400065,-0.18357697210181229,-0.07222293068988637,0.07236685771582534,-0.16624232016012536,-0.17821518347683116,-0.2550183214138206,-0.1992491384996498,-0.15327956513195545,9.86687808640017e-05,-0.1612384657731667,-0.2375570924336108,-0.2450017866821197,-0.2778731653370028,-0.20710335229336674,-0.24841591123296036,-0.2290844684110849,-0.2586299490544509,-0.17534359858337337,-0.1442652952825709,0.06485793085777428,0.07954857090659133,0.05071310784727692,0.08585023000903938,0.08585023000903938,0.02420344494121885,0.01817810307686952,0.0430667062822443,0.12098475585921974,0.09142472933790116,0.021623963269683365,0.05531542753988067,0.07267665771092123,0.00045616461376890176,0.0003008616945659595,0.0004057422042873306,0.061853275251949925,0.015916902563215676,0.0722378964590903,0.12011390207780163
pc3,-0.0537715816360016,0.09749049147432692,-0.04642208796157769,-0.043423715268445406,-0.0507401571358681,0.13079570337915056,0.16838451800527965,-0.003907891899278648,0.07604247997755165,0.21598795669792675,0.327927890826645,0.29713919688247287,0.3210661073052691,-0.03545345004710195,-0.03422249827223478,-0.05397975791365417,0.04350159923844355,-0.08068022891078719,0.12492859133335234,0.06769063026826752,0.028933627568933352,0.09630353396453117,0.10446248755729148,-0.0476355436013003,-0.1040557049583815,-0.11473040451215723,-0.09676145233885589,-0.04882162118048463,-0.1766158183815725,-0.07412865404728118,-0.08881481691695173,-0.045313021657054205,0.01897721168404526,-0.33077905391793433,-0.3285055504657556,0.11594903999331659,0.027746454699606467,0.027746454699606467,-0.0993465097308942,0.013276978684780017,-0.05638318883974814,0.03318706057906081,-0.07938867029776947,-0.09844072301490889,-0.07695881656767822,-0.09746556144696417,0.24473394468228782,0.06046014124291794,0.25069699379916727,-0.11619227212023457,-0.01731907324853405,-0.15909196033025602,0.025473559716308367
pc4,0.020693428448570857,-0.014486018995474664,-0.07774819183704086,0.018802734828537192,0.005653992395940704,-0.121606826576546,-0.0994242145549007,0.037974536363822614,0.11969108373053969,-0.15577421876810346,0.03213726065149147,0.11595369420288915,-0.022502036776998247,0.06860524095125586,-0.12919232939451475,0.07943998356816737,-0.006705071622023082,-0.012414570320750065,-0.26409463848617687,-0.07329225057532494,-0.16003978305102104,-0.024711034884996968,0.08193509485812352,-0.0789097601334129,0.07106048069765775,0.19243780603317698,0.12356155003622704,0.06992687287623546,0.14497344311011467,0.24204627642913012,0.19445787434645986,0.04948572232974601,-0.2661150991761623,-0.06524123560317682,-0.054997214231159254,0.09240234510340492,0.12736422034382727,0.12736422034382727,-0.14967109634888145,-0.10243928265054784,-0.1909732219498775,0.2828961454050637,0.11857718699563896,-0.14971666949555013,-0.15863744902794688,0.06987854921641493,0.10994468146281494,0.1926490995961714,0.058503837576971016,-0.03257293882836675,-0.17232431653832123,0.03464854176177642,0.4115390528710008
pc5,-0.12935795003852502,0.18315073729654122,-0.011655792046392804,0.19762725741584175,0.1328190857455709,-0.18668450548699866,-0.15029317852515928,0.019036689952828756,0.1327121318370988,0.13940262822951605,0.19650113412859754,0.16809726382466728,0.20051987681822048,-0.2166000344544723,-0.17256362467841851,0.05716250225618507,0.07800682395813942,-0.023296710969574856,-0.11478447888623741,0.014506227629527446,-0.04868692695982225,-0.2765562676716998,-0.18286219044748733,0.18425518975343638,0.10789336226685808,0.09772515062008913,0.04809425563799486,0.09361927578997321,0.029293777743313074,0.09720059713992567,0.0030517616721249135,0.0021203404058822554,-0.013274664451632895,-0.13746500874636083,-0.13350267790645337,-0.0004530177486047973,-0.15556222384194987,-0.15556222384194987,0.31536962292123066,-0.14473676684754758,-0.040271734508598736,-0.1298908277929034,0.0326776222640764,0.3204228171929093,0.013554146631578197,0.08242047502068851,-0.16560209143574472,-0.04083894508548407,-0.16966064331198555,-0.020890839513215822,-0.09280869858059736,0.00793367381839954,-0.01605963582309943
pc6,-0.1782537406602006,0.2361101620086442,0.041345996082309475,0.2236355389605163,0.30549346101683916,0.021085854944539795,0.004086261286151173,-0.26317322556255246,0.17793759473171136,-0.018223011331287398,-0.07106968233918287,-0.07215080975480087,-0.06840066694695585,0.06078354121694807,0.16007382414820442,-0.09198680825907966,0.03440720910574735,-0.021295705817664413,0.22650332319313227,0.009789076197497698,0.042068037496381425,-0.034978232874811194,-0.15445298306649063,0.1538738036486685,0.19846458755369678,0.05445164153262312,0.008887325454852355,0.007021551819110419,-0.0022939619607316307,0.06017119789342932,0.06257905157114216,0.06892112026185049,0.16643457760587746,0.14396571919237866,0.12891883987106187,0.1375204014895481,0.19572374730205438,0.19572374730205438,0.16268914680420263,0.13833331265278243,0.009965082357993113,0.19840082648056004,-0.08661849647484511,0.16086147495754952,0.015096398091942596,-0.1514347873352607,0.25159652218780765,0.0899067491727334,0.24865125877575464,-0.043864049738538545,0.04671832181077907,-0.07305676999273913,0.09913031364382435
pc7,-0.29872243975508456,0.2687485641384103,-0.37187518623628096,-0.3575689200692299,-0.34140823830181805,0.2779639171194829,0.27077509007926603,-0.08977646180156852,-0.13318006772160845,-0.006839650947190051,-0.04756342517811424,-0.048051049017129255,-0.046707613145323096,0.06060724112548847,-0.047173147587989905,-0.021120844911196077,-0.05281566400879154,0.13127944331540597,-0.07785551901167345,-0.061702164310949735,-0.21824715272538664,-0.2256702905390423,0.02016067448304486,0.09826086861322893,0.08248810946054627,-0.03947263508681517,0.037074710158778695,0.033930956958517736,0.02195652187598918,-0.03443618183051309,0.13975358243559965,0.06821353199527916,-0.1538895337358697,0.02289697626857764,0.047780311179816154,0.0713062512049039,-0.004166696107791254,-0.004166696107791254,0.13629791397178823,0.010947925537482523,0.049445214034614896,-0.01532525391935842,-0.01819291502290575,0.13716026786836355,0.09434847680718429,-0.025585662361964676,0.022315071008105942,0.08044302252690433,-0.0016457254592102536,-0.017446565499501954,-0.021214830307208787,-0.03010324980907155,-0.027161376184116775
pc8,0.18353845210668074,-0.20737563913824655,0.3181453696895993,0.03243651489765549,0.0510992329166117,0.2761867489572002,0.285029298974692,-0.06722716286326186,-0.19955119995543547,0.06667732687869776,0.02636671610559102,-0.0008317358568076805,0.04247863442674388,-0.02254131735991762,0.06502486541961078,-0.16318830845010424,0.008042195547147496,0.09790838513684277,-0.06343850020084707,0.003721703757887943,0.023460519388383075,-0.04372740249350107,-0.12867858604253413,-0.08649646930788608,-0.17362564818506168,0.02474100203554526,0.07337031736092352,0.13015172235790984,0.07466471362024853,-0.06628352967866603,-0.06152389176150857,0.0032383528103138836,-0.2022184374741688,-0.052943764889061315,-0.04937108166547943,-0.08322271536777613,0.0989439974659449,0.0989439974659449,0.27059759317762955,0.06810776671869996,-0.18045966237916033,0.10175463766615243,-0.09874731670217449,0.27057909056504836,-0.25622933063264247,-0.13826769349666404,-0.050398180763663834,0.23595544928127812,-0.1328626663245389,0.07915164890445286,-0.04451392306894585,0.15198039365793758,0.0534016726747984
pc9,0.07323596644109999,-0.02119855443751567,-0.18133031318364323,-0.24050471012087468,-0.24731717533056366,-0.2522651409814578,-0.24991520961634228,0.1504700361773072,-0.16150509181923278,-0.020430446982305783,-0.02389110387063901,-0.010086657249292627,-0.03222848486354363,-0.14832856873765546,0.24788379160306218,0.1581554924202334,-0.16507070130584617,-0.10601077190773633,0.20152691906019846,0.09096544872404377,0.17197461201572495,-0.008782027614078067,-0.1164665734678112,-0.14472486799116796,-0.11627157285948414,-0.13962492636314705,-0.12303111440816995,-0.060626697659171856,-0.08598231963069657,-0.031174853850329805,0.03045168800225641,-0.05902595389969477,0.22330443888215448,0.0030304738581178885,-0.010671712710853078,0.03128490119794221,0.05025601217246764,0.05025601217246764,0.2547076157549268,-0.0705628180989949,-0.08771759327455107,0.13571243437544603,0.10026908819001158,0.25322326662965877,-0.09334393010165512,0.05089530069273929,0.07747239949015274,0.18556088759593037,0.024934945749453576,-0.018677259645542118,-0.11944966893768985,0.025208463825065596,0.21673761343917106
pc10,0.235676273771511,-0.1169075726771247,0.06082529628959418,-0.05591539077248778,-0.02615452537089357,-0.26622264774798227,-0.20030755498042835,-0.12037029716767311,-0.15876067044819997,-0.018142913745499784,0.05609799724645881,0.07420229027404254,0.04069504331235635,0.1568000486816939,-0.03354006321087549,0.25145832221802944,-0.14362808480685516,0.16984488680037313,-0.08370373009276982,-0.137115417092173,-0.20168590912490023,-0.24904608719903334,0.019541400361580745,0.10115632554599117,0.09056360856942694,0.03250638637088911,-0.0061234533768211976,-0.2011938847454316,0.14415131271651938,-0.174557982693824,-0.07600394457141131,-0.3106148432415029,-0.18058356064340544,-0.03862949857539377,-0.002250224162519828,0.013281854696166624,0.046123554119489346,0.046123554119489346,0.06524884226703526,0.11441710996818044,0.04377185333858979,-0.01862505575577299,-0.23030666855028498,0.06548562681045234,0.008250038934913918,-0.24327752361473493,0.15132205102560442,-0.07498156582835387,0.19175587694164806,-0.040097228559771755,0.11125799886282225,-0.10815456050410932,-0.12417010866102485
