,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,FPR
0,50.98,0.27,31.82,0.25,0.50,0,15,0,7,0.32,0.32,1.00,0.00,1.00
1,100.00,0.11,54.55,0.26,0.48,10,5,5,2,0.55,0.29,0.29,0.67,0.33
2,100.00,0.00,54.55,0.33,0.48,10,5,5,2,0.55,0.29,0.29,0.67,0.33
3,100.00,0.00,54.55,0.34,0.48,10,5,5,2,0.55,0.29,0.29,0.67,0.33
4,100.00,0.00,54.55,0.35,0.48,10,5,5,2,0.55,0.29,0.29,0.67,0.33
5,56.86,0.25,50.00,0.25,0.50,11,0,11,0,0.50,,0.00,1.00,0.00
6,88.24,0.17,63.64,0.23,0.64,10,1,7,4,0.64,0.80,0.36,0.91,0.09
7,100.00,0.03,72.73,0.22,0.73,10,1,5,6,0.73,0.86,0.55,0.91,0.09
8,100.00,0.00,72.73,0.22,0.73,10,1,5,6,0.73,0.86,0.55,0.91,0.09
9,100.00,0.00,72.73,0.23,0.73,10,1,5,6,0.73,0.86,0.55,0.91,0.09
10,84.31,0.21,68.18,0.24,0.66,11,1,6,4,0.68,0.80,0.40,0.92,0.08
11,98.04,0.06,59.09,0.27,0.58,8,4,5,5,0.59,0.56,0.50,0.67,0.33
12,100.00,0.01,59.09,0.30,0.59,7,5,4,6,0.59,0.55,0.60,0.58,0.42
13,100.00,0.00,59.09,0.31,0.59,7,5,4,6,0.59,0.55,0.60,0.58,0.42
14,100.00,0.00,59.09,0.32,0.59,7,5,4,6,0.59,0.55,0.60,0.58,0.42
15,78.43,0.25,63.64,0.25,0.62,9,4,4,5,0.64,0.56,0.56,0.69,0.31
16,98.04,0.11,68.18,0.23,0.68,9,4,3,6,0.68,0.60,0.67,0.69,0.31
17,100.00,0.02,72.73,0.23,0.72,10,3,3,6,0.73,0.67,0.67,0.77,0.23
18,100.00,0.00,72.73,0.24,0.72,10,3,3,6,0.73,0.67,0.67,0.77,0.23
19,100.00,0.00,72.73,0.24,0.72,10,3,3,6,0.73,0.67,0.67,0.77,0.23
20,90.20,0.16,59.09,0.28,0.62,9,1,8,4,0.59,0.80,0.33,0.90,0.10
21,98.04,0.04,68.18,0.24,0.68,7,3,4,8,0.68,0.73,0.67,0.70,0.30
22,98.04,0.02,72.73,0.25,0.73,7,3,3,9,0.73,0.75,0.75,0.70,0.30
23,98.04,0.02,72.73,0.25,0.73,7,3,3,9,0.73,0.75,0.75,0.70,0.30
24,98.04,0.02,72.73,0.26,0.73,7,3,3,9,0.73,0.75,0.75,0.70,0.30
25,100.00,0.13,81.82,0.18,0.80,12,2,2,6,0.82,0.75,0.75,0.86,0.14
26,100.00,0.03,81.82,0.16,0.80,12,2,2,6,0.82,0.75,0.75,0.86,0.14
27,100.00,0.00,81.82,0.16,0.80,12,2,2,6,0.82,0.75,0.75,0.86,0.14
28,100.00,0.00,81.82,0.16,0.80,12,2,2,6,0.82,0.75,0.75,0.86,0.14
29,100.00,0.00,81.82,0.16,0.80,12,2,2,6,0.82,0.75,0.75,0.86,0.14
30,56.86,0.25,50.00,0.26,0.50,11,0,11,0,0.50,,0.00,1.00,0.00
31,100.00,0.07,59.09,0.27,0.59,6,5,4,7,0.59,0.58,0.64,0.55,0.45
32,100.00,0.00,59.09,0.33,0.59,6,5,4,7,0.59,0.58,0.64,0.55,0.45
33,100.00,0.00,59.09,0.34,0.59,6,5,4,7,0.59,0.58,0.64,0.55,0.45
34,100.00,0.00,59.09,0.35,0.59,6,5,4,7,0.59,0.58,0.64,0.55,0.45
35,58.82,0.24,45.45,0.27,0.50,10,0,12,0,0.45,,0.00,1.00,0.00
36,100.00,0.07,54.55,0.32,0.56,7,3,7,5,0.55,0.63,0.42,0.70,0.30
37,100.00,0.00,54.55,0.39,0.56,7,3,7,5,0.55,0.63,0.42,0.70,0.30
38,100.00,0.00,54.55,0.39,0.56,7,3,7,5,0.55,0.63,0.42,0.70,0.30
39,100.00,0.00,54.55,0.40,0.56,7,3,7,5,0.55,0.63,0.42,0.70,0.30
40,100.00,0.11,63.64,0.25,0.64,7,5,3,7,0.64,0.58,0.70,0.58,0.42
41,100.00,0.00,63.64,0.29,0.64,7,5,3,7,0.64,0.58,0.70,0.58,0.42
42,100.00,0.00,63.64,0.30,0.64,7,5,3,7,0.64,0.58,0.70,0.58,0.42
43,100.00,0.00,63.64,0.30,0.64,7,5,3,7,0.64,0.58,0.70,0.58,0.42
44,100.00,0.00,63.64,0.31,0.64,7,5,3,7,0.64,0.58,0.70,0.58,0.42
45,82.35,0.24,54.55,0.26,0.55,6,4,6,6,0.55,0.60,0.50,0.60,0.40
46,100.00,0.08,68.18,0.28,0.71,10,0,7,5,0.68,1.00,0.42,1.00,0.00
47,100.00,0.00,68.18,0.27,0.71,10,0,7,5,0.68,1.00,0.42,1.00,0.00
48,100.00,0.00,68.18,0.27,0.71,10,0,7,5,0.68,1.00,0.42,1.00,0.00
49,100.00,0.00,68.18,0.26,0.71,10,0,7,5,0.68,1.00,0.42,1.00,0.00
AVG,94.71,0.06,63.73,0.27,0.64,8.60,3.20,4.78,5.42,0.64,0.66,0.54,0.74,0.26
