,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,FPR
0,56.86274766921997,0.24628758622754005,54.54545454545454,0.24866028418464045,0.5,0.0,10.0,0.0,12.0,0.5454545454545454,0.5454545454545454,1.0,0.0,1.0
1,100.0,0.11473801890388133,100.0,0.1406150906905532,1.0,12.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
2,100.0,0.015381669370277275,100.0,0.017873772239733125,1.0,10.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0
3,100.0,0.006836449167167302,100.0,0.012865085795056077,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
4,100.0,0.005450315698380432,100.0,0.0051658092622434894,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
5,100.0,0.0027243118590464994,100.0,0.0062185327913011285,1.0,10.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0
6,100.0,0.002869611579714523,100.0,0.001264132356511489,1.0,11.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0
7,100.0,0.0016480863541214455,100.0,0.0017668807507312343,1.0,8.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0
8,100.0,0.001316188817708603,100.0,0.0005842122275592579,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
9,100.0,0.0008810110711267278,100.0,0.0004737949310501497,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
10,100.0,0.0009152648328322796,100.0,0.0012033617615910064,1.0,13.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0
11,100.0,0.0008976938101583191,100.0,0.0003762546759624515,1.0,10.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0
12,100.0,0.0004910118474189434,100.0,0.00029511310464342034,1.0,10.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0
13,100.0,0.0003589334270556366,100.0,0.0005413784716849125,1.0,12.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
14,100.0,0.000469796302739621,100.0,0.00011367755289557541,1.0,8.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0
15,100.0,0.000360704984726204,100.0,0.00012705333797531502,1.0,6.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0
16,100.0,0.0002109754629688517,100.0,0.0002064991417536212,1.0,11.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0
17,100.0,0.0003149753364625447,100.0,0.00016883212036543314,1.0,11.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0
18,100.0,0.00017258226228389706,100.0,0.00018217077294755126,1.0,13.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0
19,100.0,0.0001201089725063573,100.0,0.00029324287935460534,1.0,13.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0
20,100.0,0.00022025951541088999,100.0,4.459679093410922e-05,1.0,7.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0
21,100.0,0.0002081056858690816,100.0,7.421300782176155e-05,1.0,10.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0
22,100.0,0.0002358128107105937,100.0,0.00012664963287534192,1.0,13.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0
23,100.0,0.00014649868863935193,100.0,7.18915642562112e-05,1.0,5.0,0.0,0.0,17.0,1.0,1.0,1.0,1.0,0.0
24,100.0,0.0001466857720515691,100.0,6.930667610328285e-05,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
25,100.0,0.00020681120957071408,100.0,7.381541828151732e-05,1.0,10.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0
26,100.0,0.00015437870259178924,100.0,4.710345115933207e-05,1.0,10.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0
27,100.0,8.297730076470367e-05,100.0,6.436815554831898e-05,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
28,100.0,9.170487347517102e-05,100.0,4.775680656987994e-05,1.0,8.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0
29,100.0,6.142691657465372e-05,100.0,8.341671960924059e-05,1.0,12.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
30,100.0,9.951423506267487e-05,100.0,4.566555517451508e-05,1.0,13.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0
31,100.0,8.700816127407785e-05,100.0,4.9338926351816965e-05,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
32,100.0,5.762861192417932e-05,100.0,4.007594520038353e-05,1.0,6.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0
33,100.0,8.145270194584174e-05,100.0,3.0322992731065997e-05,1.0,11.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0
34,100.0,5.761589912459209e-05,100.0,6.137870138533594e-05,1.0,12.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
35,100.0,4.8430071582251617e-05,100.0,4.3156823061684506e-05,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
36,100.0,7.385351942033476e-05,100.0,1.996065534072958e-05,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
37,100.0,6.0924779034159605e-05,100.0,3.599173085662656e-05,1.0,6.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0
38,100.0,4.596803128445191e-05,100.0,3.620778595852185e-05,1.0,8.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0
39,100.0,6.393191383282218e-05,100.0,1.9856629331761428e-05,1.0,12.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
40,100.0,2.910423638475609e-05,100.0,4.109449242429447e-05,1.0,7.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0
41,100.0,8.617094652201499e-05,100.0,3.122903698597163e-05,1.0,10.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0
42,100.0,3.888354466095822e-05,100.0,4.028155589983197e-05,1.0,8.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0
43,100.0,5.084780740059702e-05,100.0,1.3792007936694241e-05,1.0,6.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0
44,100.0,5.179084244798193e-05,100.0,1.6052507846559878e-05,1.0,12.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
45,100.0,4.165352355255069e-05,100.0,1.21842597676028e-05,1.0,9.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0
46,100.0,3.2582253909147824e-05,100.0,2.4960520433171867e-05,1.0,12.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
47,100.0,3.245442624780304e-05,100.0,2.2382762073257543e-05,1.0,12.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
48,100.0,2.613918434602261e-05,100.0,1.8672399281997294e-05,1.0,7.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0
49,100.0,3.501972693606325e-05,100.0,1.9530764656073805e-05,1.0,11.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0
