,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,FPR
0,94.12,0.18,68.18,0.23,0.70,7,2,5,8,0.68,0.80,0.62,0.78,0.22
1,82.35,0.11,86.36,0.12,0.85,12,0,3,7,0.86,1.00,0.70,1.00,0.00
2,88.24,0.12,81.82,0.12,0.78,5,3,1,13,0.82,0.81,0.93,0.63,0.38
3,88.24,0.12,86.36,0.10,0.86,6,1,2,13,0.86,0.93,0.87,0.86,0.14
4,90.20,0.10,86.36,0.09,0.87,9,1,2,10,0.86,0.91,0.83,0.90,0.10
5,96.08,0.05,81.82,0.16,0.82,9,2,2,9,0.82,0.82,0.82,0.82,0.18
6,90.20,0.09,90.91,0.07,0.91,8,1,1,12,0.91,0.92,0.92,0.89,0.11
7,82.35,0.12,77.27,0.14,0.78,8,4,1,9,0.77,0.69,0.90,0.67,0.33
8,92.16,0.08,86.36,0.12,0.91,6,0,3,13,0.86,1.00,0.81,1.00,0.00
9,98.04,0.05,81.82,0.15,0.82,10,1,3,8,0.82,0.89,0.73,0.91,0.09
10,88.24,0.08,90.91,0.06,0.91,11,0,2,9,0.91,1.00,0.82,1.00,0.00
11,94.12,0.07,86.36,0.06,0.87,10,2,1,9,0.86,0.82,0.90,0.83,0.17
12,94.12,0.06,90.91,0.09,0.89,5,1,1,15,0.91,0.94,0.94,0.83,0.17
13,94.12,0.06,90.91,0.11,0.93,7,0,2,13,0.91,1.00,0.87,1.00,0.00
14,88.24,0.10,95.45,0.08,0.95,9,1,0,12,0.95,0.92,1.00,0.90,0.10
15,92.16,0.07,86.36,0.07,0.86,8,2,1,11,0.86,0.85,0.92,0.80,0.20
16,90.20,0.08,95.45,0.03,0.97,7,0,1,14,0.95,1.00,0.93,1.00,0.00
17,96.08,0.07,86.36,0.05,0.85,7,3,0,12,0.86,0.80,1.00,0.70,0.30
18,94.12,0.05,86.36,0.12,0.86,10,1,2,9,0.86,0.90,0.82,0.91,0.09
19,92.16,0.07,90.91,0.08,0.93,8,0,2,12,0.91,1.00,0.86,1.00,0.00
20,92.16,0.07,90.91,0.08,0.92,10,0,2,10,0.91,1.00,0.83,1.00,0.00
21,94.12,0.04,86.36,0.13,0.86,8,2,1,11,0.86,0.85,0.92,0.80,0.20
22,98.04,0.03,90.91,0.10,0.92,9,0,2,11,0.91,1.00,0.85,1.00,0.00
23,98.04,0.02,90.91,0.10,0.90,7,1,1,13,0.91,0.93,0.93,0.88,0.13
24,92.16,0.07,90.91,0.06,0.91,10,1,1,10,0.91,0.91,0.91,0.91,0.09
25,94.12,0.06,86.36,0.10,0.86,11,1,2,8,0.86,0.89,0.80,0.92,0.08
26,92.16,0.07,90.91,0.08,0.92,9,0,2,11,0.91,1.00,0.85,1.00,0.00
27,92.16,0.07,90.91,0.08,0.91,11,0,2,9,0.91,1.00,0.82,1.00,0.00
28,94.12,0.05,86.36,0.11,0.87,8,1,2,11,0.86,0.92,0.85,0.89,0.11
29,96.08,0.05,81.82,0.11,0.82,7,4,0,11,0.82,0.73,1.00,0.64,0.36
30,92.16,0.04,90.91,0.06,0.91,10,1,1,10,0.91,0.91,0.91,0.91,0.09
31,90.20,0.08,95.45,0.04,0.96,10,0,1,11,0.95,1.00,0.92,1.00,0.00
32,92.16,0.05,90.91,0.09,0.91,9,1,1,11,0.91,0.92,0.92,0.90,0.10
33,88.24,0.10,100.00,0.01,1.00,9,0,0,13,1.00,1.00,1.00,1.00,0.00
34,90.20,0.08,95.45,0.04,0.96,9,0,1,12,0.95,1.00,0.92,1.00,0.00
35,96.08,0.03,81.82,0.16,0.82,5,1,3,13,0.82,0.93,0.81,0.83,0.17
36,92.16,0.07,90.91,0.08,0.92,9,0,2,11,0.91,1.00,0.85,1.00,0.00
37,88.24,0.09,100.00,0.01,1.00,11,0,0,11,1.00,1.00,1.00,1.00,0.00
38,90.20,0.09,95.45,0.03,0.96,10,0,1,11,0.95,1.00,0.92,1.00,0.00
39,94.12,0.06,86.36,0.08,0.87,8,1,2,11,0.86,0.92,0.85,0.89,0.11
40,96.08,0.06,95.45,0.05,0.95,12,0,1,9,0.95,1.00,0.90,1.00,0.00
41,94.12,0.06,86.36,0.11,0.87,9,1,2,10,0.86,0.91,0.83,0.90,0.10
42,92.16,0.07,90.91,0.07,0.92,10,0,2,10,0.91,1.00,0.83,1.00,0.00
43,92.16,0.08,90.91,0.05,0.91,9,1,1,11,0.91,0.92,0.92,0.90,0.10
44,90.20,0.08,95.45,0.04,0.96,10,0,1,11,0.95,1.00,0.92,1.00,0.00
45,94.12,0.06,86.36,0.11,0.91,6,0,3,13,0.86,1.00,0.81,1.00,0.00
46,90.20,0.08,95.45,0.04,0.96,8,0,1,13,0.95,1.00,0.93,1.00,0.00
47,90.20,0.09,95.45,0.04,0.95,10,1,0,11,0.95,0.92,1.00,0.91,0.09
48,96.08,0.04,81.82,0.15,0.86,8,0,4,10,0.82,1.00,0.71,1.00,0.00
49,90.20,0.08,95.45,0.04,0.96,9,0,1,12,0.95,1.00,0.92,1.00,0.00
