,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,FPR
0,56.86,0.25,54.55,0.25,0.50,0,10,0,12,0.55,0.55,1.00,0.00,1.00
1,58.82,0.23,50.00,0.25,0.50,0,11,0,11,0.50,0.50,1.00,0.00,1.00
2,80.39,0.20,68.18,0.22,0.65,4,5,2,11,0.68,0.69,0.85,0.44,0.56
3,82.35,0.16,95.45,0.14,0.96,10,0,1,11,0.95,1.00,0.92,1.00,0.00
4,82.35,0.13,81.82,0.10,0.88,6,0,4,12,0.82,1.00,0.75,1.00,0.00
5,90.20,0.09,81.82,0.13,0.81,7,2,2,11,0.82,0.85,0.85,0.78,0.22
6,86.27,0.09,90.91,0.10,0.89,13,0,2,7,0.91,1.00,0.78,1.00,0.00
7,86.27,0.10,95.45,0.06,0.93,15,0,1,6,0.95,1.00,0.86,1.00,0.00
8,88.24,0.08,86.36,0.12,0.86,10,1,2,9,0.86,0.90,0.82,0.91,0.09
9,86.27,0.10,95.45,0.08,0.94,14,0,1,7,0.95,1.00,0.88,1.00,0.00
10,92.16,0.08,81.82,0.12,0.86,8,0,4,10,0.82,1.00,0.71,1.00,0.00
11,88.24,0.10,86.36,0.10,0.85,12,0,3,7,0.86,1.00,0.70,1.00,0.00
12,86.27,0.10,95.45,0.07,0.95,12,0,1,9,0.95,1.00,0.90,1.00,0.00
13,92.16,0.09,90.91,0.07,0.91,9,1,1,11,0.91,0.92,0.92,0.90,0.10
14,92.16,0.08,90.91,0.09,0.89,5,1,1,15,0.91,0.94,0.94,0.83,0.17
15,86.27,0.09,95.45,0.05,0.94,13,0,1,8,0.95,1.00,0.89,1.00,0.00
16,94.12,0.07,86.36,0.11,0.87,9,1,2,10,0.86,0.91,0.83,0.90,0.10
17,94.12,0.05,86.36,0.12,0.87,12,2,1,7,0.86,0.78,0.88,0.86,0.14
18,94.12,0.06,86.36,0.12,0.86,8,2,1,11,0.86,0.85,0.92,0.80,0.20
19,92.16,0.08,90.91,0.10,0.91,8,1,1,12,0.91,0.92,0.92,0.89,0.11
20,86.27,0.09,86.36,0.06,0.86,9,2,1,10,0.86,0.83,0.91,0.82,0.18
21,98.04,0.04,77.27,0.18,0.79,5,1,4,12,0.77,0.92,0.75,0.83,0.17
22,86.27,0.07,86.36,0.11,0.86,6,1,2,13,0.86,0.93,0.87,0.86,0.14
23,94.12,0.07,90.91,0.09,0.90,7,1,1,13,0.91,0.93,0.93,0.88,0.13
24,90.20,0.09,95.45,0.04,0.96,9,0,1,12,0.95,1.00,0.92,1.00,0.00
25,92.16,0.07,95.45,0.07,0.93,15,0,1,6,0.95,1.00,0.86,1.00,0.00
26,92.16,0.06,90.91,0.09,0.92,9,0,2,11,0.91,1.00,0.85,1.00,0.00
27,92.16,0.07,90.91,0.07,0.91,12,1,1,8,0.91,0.89,0.89,0.92,0.08
28,92.16,0.07,95.45,0.06,0.95,10,1,0,11,0.95,0.92,1.00,0.91,0.09
29,92.16,0.07,95.45,0.06,0.97,14,1,0,7,0.95,0.88,1.00,0.93,0.07
30,92.16,0.07,90.91,0.06,0.91,8,1,1,12,0.91,0.92,0.92,0.89,0.11
31,94.12,0.05,90.91,0.12,0.93,7,0,2,13,0.91,1.00,0.87,1.00,0.00
32,94.12,0.06,86.36,0.11,0.87,8,1,2,11,0.86,0.92,0.85,0.89,0.11
33,94.12,0.06,90.91,0.08,0.92,9,0,2,11,0.91,1.00,0.85,1.00,0.00
34,96.08,0.04,86.36,0.12,0.87,7,1,2,12,0.86,0.92,0.86,0.88,0.13
35,90.20,0.09,86.36,0.04,0.88,9,0,3,10,0.86,1.00,0.77,1.00,0.00
36,90.20,0.09,100.00,0.01,1.00,12,0,0,10,1.00,1.00,1.00,1.00,0.00
37,94.12,0.06,90.91,0.10,0.94,5,0,2,15,0.91,1.00,0.88,1.00,0.00
38,94.12,0.06,90.91,0.08,0.93,8,0,2,12,0.91,1.00,0.86,1.00,0.00
39,90.20,0.07,95.45,0.06,0.94,13,0,1,8,0.95,1.00,0.89,1.00,0.00
40,92.16,0.07,95.45,0.04,0.96,8,0,1,13,0.95,1.00,0.93,1.00,0.00
41,92.16,0.07,95.45,0.05,0.94,8,1,0,13,0.95,0.93,1.00,0.89,0.11
42,94.12,0.05,90.91,0.09,0.91,10,1,1,10,0.91,0.91,0.91,0.91,0.09
43,90.20,0.08,100.00,0.02,1.00,11,0,0,11,1.00,1.00,1.00,1.00,0.00
44,94.12,0.05,90.91,0.10,0.91,11,0,2,9,0.91,1.00,0.82,1.00,0.00
45,92.16,0.07,95.45,0.05,0.96,12,1,0,9,0.95,0.90,1.00,0.92,0.08
46,90.20,0.09,100.00,0.01,1.00,10,0,0,12,1.00,1.00,1.00,1.00,0.00
47,96.08,0.04,86.36,0.12,0.90,7,0,3,12,0.86,1.00,0.80,1.00,0.00
48,94.12,0.05,90.91,0.09,0.90,7,1,1,13,0.91,0.93,0.93,0.88,0.13
49,92.16,0.07,95.45,0.04,0.97,7,0,1,14,0.95,1.00,0.93,1.00,0.00
