,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,FPR
0,56.86274766921997,0.25977461280361297,50.0,0.2789359679145197,0.5,11.0,0.0,11.0,0.0,0.5,,0.0,1.0,0.0
1,56.86274766921997,0.2450973266555417,50.0,0.2539914856033941,0.5,11.0,0.0,11.0,0.0,0.5,,0.0,1.0,0.0
2,56.86274766921997,0.2437093411722491,50.0,0.2542001999193622,0.5,11.0,0.0,11.0,0.0,0.5,,0.0,1.0,0.0
3,88.23529481887817,0.16484013417114815,59.09090909090909,0.24297248162329202,0.5909090909090908,7.0,4.0,5.0,6.0,0.5909090909090909,0.6,0.5454545454545454,0.6363636363636364,0.3636363636363637
4,92.15686321258544,0.08711338250852023,63.63636363636363,0.26627663852738553,0.6363636363636364,8.0,3.0,5.0,6.0,0.6363636363636364,0.6666666666666666,0.5454545454545454,0.7272727272727273,0.2727272727272727
5,54.901963472366326,0.26528632722117684,54.54545454545454,0.2630508065223694,0.5,12.0,0.0,10.0,0.0,0.5454545454545454,,0.0,1.0,0.0
6,54.901963472366326,0.2471409127596885,54.54545454545454,0.24753227301182285,0.5,12.0,0.0,10.0,0.0,0.5454545454545454,,0.0,1.0,0.0
7,54.901963472366326,0.24628241744733625,54.54545454545454,0.2469599746888684,0.5,12.0,0.0,10.0,0.0,0.5454545454545454,,0.0,1.0,0.0
8,54.901963472366326,0.2432378424752143,54.54545454545454,0.2450004950646431,0.5,12.0,0.0,10.0,0.0,0.5454545454545454,,0.0,1.0,0.0
9,86.27451062202455,0.1635748115933944,59.09090909090909,0.2448238075893616,0.5916666666666666,7.0,5.0,4.0,6.0,0.5909090909090909,0.5454545454545454,0.6,0.5833333333333334,0.4166666666666667
10,52.9411792755127,0.2494982879709553,59.09090909090909,0.24662922846304405,0.5,13.0,0.0,9.0,0.0,0.5909090909090909,,0.0,1.0,0.0
11,50.980395078659065,0.2465501773741937,59.09090909090909,0.2431560480786908,0.5,13.0,0.0,9.0,0.0,0.5909090909090909,,0.0,1.0,0.0
12,88.23529481887817,0.15492546347656636,72.72727272727273,0.1898904790480932,0.7521367521367521,8.0,5.0,1.0,8.0,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6153846153846154,0.38461538461538464
13,88.23529481887817,0.10418768106929717,72.72727272727273,0.1839779418322348,0.735042735042735,9.0,4.0,2.0,7.0,0.7272727272727273,0.6363636363636364,0.7777777777777778,0.6923076923076923,0.3076923076923077
14,88.23529481887817,0.09831020211587188,68.18181818181817,0.20272706155894232,0.6965811965811967,8.0,5.0,2.0,7.0,0.6818181818181818,0.5833333333333334,0.7777777777777778,0.6153846153846154,0.38461538461538464
15,56.86274766921997,0.2442250972793948,50.0,0.25419188987824226,0.5,11.0,0.0,11.0,0.0,0.5,,0.0,1.0,0.0
